# Set empty fields to NA
Category,Fuel,Segment,Euro Standard,Concept,Pollutant,EF_ug_km
Passenger Cars,Diesel,NA,Euro 1,DI,benzo(a)pyrene,0.63
Passenger Cars,Diesel,NA,Euro 1,IDI,benzo(a)pyrene,2.85
Passenger Cars,Diesel,NA,Euro 2,DI,benzo(a)pyrene,0.63
Passenger Cars,Diesel,NA,Euro 2,IDI,benzo(a)pyrene,2.85
Passenger Cars,Diesel,NA,Euro 3,DI,benzo(a)pyrene,0.63
Passenger Cars,Diesel,NA,Euro 3,IDI,benzo(a)pyrene,2.85
Passenger Cars,Diesel,NA,Euro 4,DI,benzo(a)pyrene,0.63
Passenger Cars,Diesel,NA,Euro 4,IDI,benzo(a)pyrene,2.85
Passenger Cars,Diesel,NA,Euro 5,DI,benzo(a)pyrene,0.63
Passenger Cars,Diesel,NA,Euro 5,IDI,benzo(a)pyrene,2.85
Passenger Cars,Diesel,NA,Euro 6 up to 2016,DI,benzo(a)pyrene,0.63
Passenger Cars,Diesel,NA,Euro 6 up to 2016,IDI,benzo(a)pyrene,2.85
Passenger Cars,Diesel,NA,Euro 6 2017-2019,DI,benzo(a)pyrene,0.63
Passenger Cars,Diesel,NA,Euro 6 2017-2019,IDI,benzo(a)pyrene,2.85
Passenger Cars,Diesel,NA,Euro 6 2020+,DI,benzo(a)pyrene,0.63
Passenger Cars,Diesel,NA,Euro 6 2020+,IDI,benzo(a)pyrene,2.85
# Diesel, Light Commercial Vehicles
Light Commercial Vehicles,Diesel,NA,Conventional,DI,benzo(a)pyrene,0.63
Light Commercial Vehicles,Diesel,NA,Conventional,IDI,benzo(a)pyrene,2.85
Light Commercial Vehicles,Diesel,NA,Euro 1,DI,benzo(a)pyrene,0.63
Light Commercial Vehicles,Diesel,NA,Euro 1,IDI,benzo(a)pyrene,2.85
Light Commercial Vehicles,Diesel,NA,Euro 2,DI,benzo(a)pyrene,0.63
